namespace,key,label::fr,label::en,label_one::fr,label_one::en
visitedPlaces,visitedPlacePreviousDepartureTime_home_other,À quelle heure {{nickname}} a-t-{{gender:il/elle/iel/il(-elle)}} quitté le domicile pour aller à cet endroit ({{visitedPlaceDescription}})?,At what time did {{nickname}} leave home before going to this place ({{visitedPlaceDescription}})?,À quelle heure avez-vous quitté le domicile pour aller à cet endroit ({{visitedPlaceDescription}})?,At what time did you leave home before going to this place ({{visitedPlaceDescription}})?
visitedPlaces,visitedPlacePreviousDepartureTime_home_workOnTheRoad,À quelle heure {{nickname}} a-t-{{gender:il/elle/iel/il(-elle)}} quitté le domicile avant de débuter ses déplacements sur la route?,At what time did {{nickname}} leave home before starting {{gender:his/her/their/their}} on the road trips?,À quelle heure avez-vous quitté le domicile avant de débuter vos déplacements sur la route?,At what time did you leave home before starting your on the road trips?
visitedPlaces,visitedPlacePreviousDepartureTime_usualWorkPlace_workOnTheRoad,À quelle heure {{nickname}} a-t-{{gender:il/elle/iel/il(-elle)}} quitté son lieu de travail habituel avant de débuter ses déplacements sur la route?,At what time did {{nickname}} leave {{gender:his/her/their/their}} usual work place before starting {{gender :his/her/their/their}} on the road trips?,À quelle heure avez-vous quitté votre lieu de travail habituel avant de débuter vos déplacements sur la route?,At what time did you leave your usual work place before starting your on the road trips?
visitedPlaces,visitedPlaceArrivalTime_workOnTheRoad,{{nickname}} a commencé ses déplacements sur la route à: ,{{nickname}} started their trips on the road at:,Vous avez commencé vos déplacements sur la route à:,You started your trips on the road at:
visitedPlaces,visitedPlaceArrivalTime_leisureStroll,{{nickname}} a commencé sa promenade à:,{{nickname}} started their stroll at:,Vous avez commencé votre promenade à: ,You started your stroll at:
visitedPlaces,visitedPlaceDepartureTime_leisureStroll,{{nickname}} a terminé sa promenade à:,{{nickname}} finished their stroll at:,Vous avez terminé votre promenade à:,You finished your stroll at:
visitedPlaces,visitedPlaceDepartureTime_workOnTheRoad,{{nickname}} a terminé ses déplacements sur la route à:,{{nickname}} finished their trips on the road at:,Vous avez terminé vos déplacements sur la route à:,You finished your trips on the road at:
visitedPlaces,activityCategories.work,Travail,Work,,
visitedPlaces,activityCategories.school,École,School,,
visitedPlaces,activityCategories.school,Études,Studies,,
visitedPlaces,activityCategories.shoppingServiceRestaurant,"Magasinage, Service ou Restauration","Shopping, Services or Restaurant",,
visitedPlaces,activityCategories.dropFetchSomeone,Reconduire ou Aller chercher quelqu'un,Drop someone off or Pick someone up,,
visitedPlaces,activityCategories.leisure,"Loisirs (sport, arts, promenade, etc.)","Leisure (sport, arts, stroll, etc.)",,
visitedPlaces,activityCategories.other,Autre,Other,,
visitedPlaces,activityCategories.otherParentHome,Domicile de l'autre parent ou tuteur,Home of the other parent or guardian,,
visitedPlaces,activityCategories.home,Domicile,Home,,
visitedPlaces,activities.workUsual,Travail au lieu habituel,Work (out-of-home fixed location),,
visitedPlaces,activities.workNotUsual,Travail dans un autre lieu,Work (other place),,
visitedPlaces,activities.workOnTheRoad,Travail sur la route,Work on the road,,
visitedPlaces,activities.volunteering,Bénévolat,Volunteering,,
visitedPlaces,activities.schoolUsual,Études au lieu principal,"Studies ([établissement scolaire]/high school, college, university)",,
visitedPlaces,activities.schoolNotUsual,Études dans un autre lieu,Studies (different location),,
visitedPlaces,activities.shopping,"Magasinage (achats, station-service, épicerie, etc.)","Shopping (store, gas station, grocery)",,
visitedPlaces,activities.restaurant,"Restaurant, café, bar","Restaurant, coffee shop, bar",,
visitedPlaces,activities.service,"Service (coiffeur, réparations, avocat, banque, etc.)","Service (hairdresser, repairs, lawyer, bank)",,
visitedPlaces,activities.medical,"Santé (hôpital, clinique, physiothérapie, etc.)","Medical (clinic, hospital, physiotherapy)",,
visitedPlaces,activities.veterinarian,Vétérinaire,Veterinary,,
visitedPlaces,activities.worship,Lieu de culte,Place of worship,,
visitedPlaces,activities.pickClassifiedPurchase,Récupérer un achat chez un particulier (petites annonces),Pick up an item from a private seller (online marketplace/classifieds),,
visitedPlaces,activities.other,Autre,Other,,
visitedPlaces,activities.dropSomeone,Reconduire quelqu'un,Drop someone off,,
visitedPlaces,activities.fetchSomeone,Aller chercher quelqu'un,Pick someone up,,
visitedPlaces,activities.accompanySomeone,Accompagner quelqu'un,Accompany someone,,
visitedPlaces,activities.leisureStroll,"Promenade sans destination fixe (ex. : aller courir, promener le chien)","Stroll with no fixed destination (ex: go running/jogging, walk with pet, etc.)",,
visitedPlaces,activities.leisureSports,"Sport, entrainement, aller au parc (destination fixe)","Sport, training, park",,
visitedPlaces,activities.leisureArtsMusicCulture,"Arts, Musique ou culture","Arts, Music ou culture",,
visitedPlaces,activities.leisureTourism,"Vacances, tourisme","Vacation, tourism",,
visitedPlaces,activities.visiting,"Visite chez ami.e.s, copain.e ou famille","Visiting friends, partner or family",,
visitedPlaces,activities.volunteering,Bénévolat,Volunteering,,
visitedPlaces,activities.secondaryHome,Résidence secondaire,Secondary residence,,
visitedPlaces,activities.schoolNotStudent,Études,Studies,,
household,errors.selectDontKnowWhenNoOtherChoiceSelected,"Sélectionnez ""Je ne sais pas"" seulement si aucun autre choix n'est sélectionné.","Select ""I don't know"" only if no other choice is selected.",,
household,errors.selectNoWhenNoOtherChoiceSelected,"Sélectionnez ""Non"" seulement si aucun autre choix n'est sélectionné.","Select ""no"" only if no other choice is selected.",,
household,errors.selectNoneWhenNoOtherChoiceSelected,"Sélectionnez ""Aucun pour le mois en cours"" seulement si aucun autre choix n'est sélectionné.","Select ""None for the current month"" only if no other choice is selected.",,
household,errors.selectPreferNotToAnswerWhenNoOtherChoiceSelected,"Sélectionnez ""Préfère ne pas répondre"" seulement si aucun autre choix n'est sélectionné.","Select ""Prefer not to answer"" only if no other choice is selected.",,
household,errors.selectNoTravelWhenNoOtherChoiceSelected,"Sélectionnez ""Pas de déplacement"" seulement si aucun autre choix n'est sélectionné.","Select ""No Travel"" only if no other choice is selected.",,
household,errors.selectOneOrMoreAnswer,Sélectionnez une ou des réponses.,Select one or multiple choices.,,
household,errors.selectNoRemoteWorkWhenNoOtherChoiceSelected,"Sélectionnez ""Pas de télé-travail"" seulement si aucun autre choix n'est sélectionné.","Select ""No remote work"" only if no other choice is selected.",,
household,errors.selectNoRemoteStudyWhenNoOtherChoiceSelected,"Sélectionnez ""Pas de télé-études"" seulement si aucun autre choix n'est sélectionné.","Select ""No remote studies"" only if no other choice is selected.",,
household,popup.validateHouseholdAgesHelp,Au moins un membre de votre ménage doit avoir 16 ans ou plus pour répondre à ce questionnaire. Veuillez vérifier les âges.,At least one member of your household must be 16 years old or older to respond to this survey. Please verify ages.,Vous devez avoir au moins 16 ans pour répondre à ce questionnaire.,You must be at least 16 years old to respond to this survey.
household,schoolTypeLessThan4,**Type de garde**,**Childcare type**,,
household,schoolTypeBetween4And15,**Type d'école**,**School type**,,
household,errors.nicknameMustBeUnique,Le nom ou surnom doit être unique,The name or nickname must be unique,,
household,popup.transitFareTitle,Zones tarifaires?,Fare zones?,,
household,popup.transitFareContent,Carte + tableau des tarifs,Carte + tableau des tarifs,,
visitedPlaces,onTheRoadArrivalTypeHome,Domicile,Home,,
visitedPlaces,onTheRoadArrivalTypeUsualWorkPlace,Lieu de travail habituel,Usual work place,,
visitedPlaces,onTheRoadArrivalTypeOther,Autre lieu,Other location,,
